Event Name,Format,Organizer,Start Date,City,Country,Description,URL
DevOpsDays: Vilnius 2025,In Person,DevOpsDays Vilnius,2025-09-10,Vilnius,Lithuania,"DevOpsDays Vilnius 2025 is a self-organized, non-profit event for IT engineers to learn and share. Attendees can gain valuable insights and build their professional network through talks, ignites (short talks), and open space meetings. The event features 30-minute presentations, 5-minute ignite talks, and participant-driven breakout sessions.",https://devopsdays.org/events/2025-vilnius/welcome/
CDAO Melbourne,In Person,Corinium,2025-09-10,Melbourne,Australia,"CDAO Melbourne (Chief Data & Analytics Officer) will tackle the dynamic data trends impacting data leaders by exploring cutting-edge strategies that seamlessly integrate innovation, governance, and technology into actionable business outcomes. This event will spotlight trends shaping the future of data and analytics, including scaling AI, harnessing augmented analytics, and democratizing data access.",https://cdao-mel.coriniumintelligence.com/
The Official Cybersecurity Summit: Chicago,In Person,Cybersecurity Summit,2025-09-10,Chicago,United States,"The 11th Edition of the Chicago Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/chicago25-sept/
Netskope SASE Summit: Mexico City,In Person,Netskope,2025-09-09,Mexico City,Mexico,"The Netskope SASE Summit in Mexico City offers insights into Security and Network Convergence (SASE) solutions. Explore products, solutions, and resources related to SASE, SSE, and other security technologies.",https://www.netskope.com/company/events/netskope-sase-summit
16th Annual Billington CyberSecurity Summit,In Person,Billington CyberSecurity,2025-09-09,Washington,United States,"Join over 2500 attendees and 200+ top speakers participating in more than 40 sessions and breakouts at the 16th Annual Billington CyberSecurity Summit, the leading government cybersecurity summit.",https://billingtoncybersummit.com/
CIOMeet 2025: Chicago,In Person,CIOMeet by CXO Inc.,2025-09-09,Chicago,United States,"CIOMeet events offer a dynamic and exclusive forum where Chief Information Officers (CIOs) and IT Strategists converge to engage in profound discussions, spirited debates, and rigorous examinations of Enterprise IT. These events champion the essence of 'Thought Leadership,' offering CIOs and IT leaders a platform to not just collaborate but to ignite innovation through engaging panel discussions and interactive open mic sessions.",https://www.ciomeet.org/
Transformational CISO Assembly – September 2025,In Person,The Millennium Alliance,2025-09-09,Houston,United States,"The Transformational CISO Assembly is a groundbreaking opportunity for Global Chief Information Security Officers to meet face-to-face and connect on current trends & challenges the industry is facing. The event offers access to leading enterprises and discussions on topics including zero trust, cloud cyber risk, vulnerability management, third-party risk management, threat intelligence, the relationship between security and business success, and the rise of generative AI.",https://mill-all.com/assemblies/transformational-ciso-assembly-september-2025/
The Official Cybersecurity Summit,In Person,Cybersecurity Summit,2025-09-09,Minneapolis,United States,"The Inaugural Minneapolis Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/minneapolis25/
Netskope SASE Summit,In Person,Netskope,2025-09-05,Johannesburg,South Africa,Join Netskope at the SASE Summit to learn about Security and Network Convergence (SASE).,https://www.netskope.com/company/events/netskope-sase-summit
OrangeCon Amsterdam,In Person,OrangeCon,2025-09-05,Amsterdam,Netherlands,"OrangeCon is a community driven, non-profit Cybersecurity Conference in Amsterdam. Attendees can meet experts, participate in trainings, and experience talks by leading cybersecurity experts. The conference is scheduled for September 5th, 2025.",https://orangecon.nl
DevOpsDays: Santiago 2025,In Person,DevOpsDays,2025-09-05,Santiago,Chile,DevOpsDays llega a Santiago de Chile el 05 de septiembre del 2025. Se parte del primer DevOpsDays en Chile.,https://devopsdays.org/events/2025-santiago/welcome/
FutureCon CyberSecurity Conference,In Person,futureconevents,2025-09-04,Charlotte,United States,"A cybersecurity executive with 19 years of experience in Information Technology (IT) specializing in IT management, IT infrastructure engineering, IT security management, and enterprise security architecture. Defined and delivered cybersecurity strategy for security engineering, identity and access management (IDM), cloud security, operation technology (OT), IoT, and cybersecurity operation center (CSOC). Performed evaluations and selection of cybersecurity tools and successfully implemented them to provide optimal security and risk controls for critical business information systems. Prepared and presented cybersecurity risk posture and enhancements on a quarterly basis.",https://futureconevents.com/events/charlotte-nc-2025
ERTL-YANG Leader Summit 2025 | Paris,In Person,ERTL-YANG,2025-09-04,Paris,France,"ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks. The summit helps create new growth by elevating the human experience—with connected ideas, talent, leadership and technology. Attendees can network, share and learn, and collaborate with peers.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-paris/overview
Conf42: Platform Engineering 2025,Virtual,Conf42,2025-09-04,London,United Kingdom,"Conf42 Platform Engineering 2025 is an online event taking place on September 04, 2025. Learn for free and join the tech learning community.",https://www.conf42.com/platform2025
CIOMeet 2025: Mexico City,In Person,CIOMeet by CXO Inc.,2025-09-04,Mexico City,Mexico,"CIOMeet by CXO Inc. events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions. These are not just those conversations that take place in the confines of your typical business meeting, but a real collaboration among an intimate group of C-suite IT executives.",https://www.ciomeet.org/
Transform Finance: FinCrime Leaders Summit DACH,In Person,Transform Finance,2025-09-04,Frankfurt,Germany,"The 5th Annual FinCrime Leaders Summit DACH brings together industry experts to address AML, KYC, financial crime risk, compliance and fraud challenges faced by the finance sector in the DACH region. Attendees will gain actionable strategies to fortify their organizations against financial crime and fraud, with networking opportunities with 300+ executives from financial institutions, fintechs, regulators, solution providers, and law enforcement.",https://www.transformfinance.media/fincrime-summit-frankfurt
Blue Team Con 2025,In Person,Blue Team Con,2025-09-04,Chicago,United States,"Blue Team Con is the only annual in-person conference created for cybersecurity defenders, inclusive of anyone interested in safeguarding organizations. Join more than 850+ community-minded defensive cybersecurity experts for information sharing, relationship and career building events, and defense-focused talks held by some of the industry’s leading cybersecurity minds. Earn CPE credits in every one of our Trainings and Talks – 32+ CPEs available in 4 days!",https://www.blueteamcon.com
Netskope SASE Summit: Cape Town,In Person,Netskope,2025-09-03,Cape Town,South Africa,The Netskope SASE Summit brings together industry leaders and experts to discuss the latest trends and best practices in Security and Network Convergence (SASE). Attendees will gain valuable insights into securing their organizations and enabling a Zero Trust architecture.,https://www.netskope.com/company/events/netskope-sase-summit
Certified Cloud Security Professional,Hybrid,imfacademy,2025-09-01,Amsterdam,Netherlands,"The Certified Cloud Security Professional (CCSP) training is developed by the leading information security organisation (ISC)² in cooperation with the Cloud Security Alliance (CSA). The CSA is a non-profit organisation with a mission to promote the use of best practices for providing security assistance within cloud computing, and to provide education on the use of cloud computing to help secure all other forms of computing. The Cloud Security Alliance is led by a broad coalition of industry practitioners, corporations, associates and other stakeholders. The CSA certification board is a diverse group of Cloud Security experts from around the world.",https://www.imfacademy.com/security-management/certified-cloud-security-professional-ccsp.php
Generative AI Summit: Los Angeles,In Person,World AI Accelerator Institute,2025-08-28,Los Angeles,United States,"Join LA's most singificant assembly of AI builders & execs. Industry focus is no longer proving value of generative AI. It's about delivering value at scale; deploying apps that are cost-effective, powerful & responsible. Unite with your applied AI community & leave able to: → Conquer blockers in infrastructure, data layer, deployment & optimization, equiped with the best stack. → Remain competitive, capable of building value-driving generative & agentic apps. → Leave with hundreds of the most influential engineering leaders added to your phone book, equipped with the tools and tech stack you need.",https://world.aiacceleratorinstitute.com/location/losangeles
SecureWorld: Critical Infrastructure Security,Virtual,secureworld.io,2025-08-28,Portland,United States,"Speakers receive a Speaker Conference Pass, which provides access to all standard sessions, keynotes, panels, complimentary lunch, and CPE credits. Additionally, speakers will receive extensive exposure on the SecureWorld conference agenda page, event microsite, and in email and social media promotions. Speaking at SecureWorld creates an excellent opportunity to meet and network with fellow presenters, colleagues, and peers. Speakers are not provided a speaking fee nor reimbursed for travel costs.",https://www.secureworld.io/events
Linux Security Summit Europe,In Person,Linux Foundation,2025-08-28,Amsterdam,Netherlands,"The Linux Security Summit (LSS) is a technical forum for collaboration between Linux developers, researchers, and end users to foster community efforts to analyze and solve Linux security challenges. Key Linux security community members and maintainers gather to present their work and discuss research with peers.",https://events.linuxfoundation.org/linux-security-summit-europe/
AI_dev: Open Source GenAI & ML Summit Europe,In Person,Linux Foundation,2025-08-28,Amsterdam,Netherlands,"AI_dev is a nexus for developers delving into the intricate realm of open source generative AI and machine learning. At the heart of this event is the belief that open source is the engine of innovation in AI. By uniting the brightest developers from around the world, we aim to ignite discussions, foster collaborations, and shape the trajectory of open source AI.",https://events.linuxfoundation.org/ai-dev-europe/
Convene: Cleveland,In Person,National Cybersecurity Alliance,2025-08-26,Cleveland,United States,"The National Cybersecurity Alliance welcomes the cybersecurity and IT community to connect, share and Convene. This event focuses on the intersection of people and security, offering insights for security professionals to improve communication and collaboration within their organizations. Attendees can expect to learn from thought leaders, participate in workshops, network with peers, and connect with like-minded professionals.",https://www.staysafeonline.org/events/convene-cleveland
The Official Cybersecurity Summit,In Person,cybersecuritysummit,2025-08-26,Portland,United States,"The 2nd Annual Portland Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch, and cocktail reception.",https://cybersecuritysummit.com/summit/portland25/
The Official Cybersecurity Summit: Critical Infrastructure,Virtual,Cybersecurity Summit,2025-08-26,New York City,United States,"This virtual conference will examine the current landscape of cyber threats targeting critical infrastructure and the public sector, with insights from security professionals across energy, transportation, healthcare, and other essential sectors. Through a comprehensive analysis of vulnerabilities and real-world attack scenarios, we’ll explore strategies for identifying, prioritizing, and mitigating these threats. With a focus on proactive defense measures and collaborative efforts, this event will provide actionable guidance to help safeguard vital systems and ensure resilience against evolving cyber risks.",https://cybersecuritysummit.com/summit/infrastructure25/
Open Source Summit Europe,In Person,The Linux Foundation,2025-08-25,Amsterdam,Netherlands,"Open Source Summit is the premier event for open source developers, technologists, and community leaders to collaborate, share information, solve problems, and gain knowledge, furthering open source innovation and ensuring a sustainable open source ecosystem. It is the gathering place for open-source code and community contributors.",https://events.linuxfoundation.org/open-source-summit-europe/
Bxsec Security Conference 2025,In Person,bxsec,2025-08-23,Santos-SP,Brazil,"bxsec is an information security conference that started in 2016 in the city of Santos-SP (Baixada Santista). The first official event took place in 2017, following community concepts. The conference always addresses technical themes to maintain quality, and the talks are not about products or manufacturers but about information security and hacking.",https://bxsec.org
BSides Saskatoon 2025,In Person,Security BSides,2025-08-22,Saskatoon,Canada,"BSides Saskatoon is a community-driven conference for cybersecurity professionals, enthusiasts, and anyone curious about the field. It provides a platform to connect, share ideas, and learn about the latest research and innovation in an open and collaborative environment.",https://bsidesyxe.ca
DevOpsDays: Lima 2025,In Person,devopsdays.org,2025-08-22,Lima,Peru,"DevOpsDays, el evento internacional que está revolucionando la industria tecnológica, llegará a Lima el 21 de agosto de 2025. Esta conferencia de clase mundial reúne a los más destacados expertos en tecnología, líderes en transformación digital y apasionados del mundo DevOps para compartir experiencias, estrategias y mejores prácticas que están definiendo el futuro del desarrollo y las operaciones de TI.",https://devopsdays.org/events/2025-lima/welcome/
FutureCon Cybersecurity Conference - Salt Lake City,In Person,FutureCon Events,2025-08-21,Salt Lake City,United States,"FutureCon Events brings high-level Cyber Security Training to C-suite executives and CISOs. Attendees will gain the latest knowledge to enable applications while keeping their computing environment secure from even the most advanced Cyber Threats. The event includes multiple presentations, a panel discussion, networking opportunities, and sponsor booths.",https://futureconevents.com/events/salt-lake-city-ut-2025
Conf42: Quantum Computing 2025,Virtual,Conf42,2025-06-19,London,United Kingdom,"Conf42 Quantum Computing 2025 is an online event taking place on June 19, 2025. The conference features various tracks with presentations on topics such as Quantum-Enhanced Edge AI, Quantum Algorithms in Action, Quantum-Powered IoT, and Quantum-Accelerated Storage Systems, presented by experts from companies like Microsoft, Deloitte Consulting, and JPMorgan Chase.",https://www.conf42.com/quantum2025
SANS 2025 Cloud Security Exchange,Virtual,sans.org,2025-08-21,,,"• Analyze current attacker tactics, techniques, and procedures (TTPs), along with the corresponding defensive capabilities enabled by Zero Trust architectures. To bring these concepts to life, the chapter integrates real-world scenarios that demonstrate how modern Zero Trust strategies are being applied across enterprise environments to enhance security, reduce risk, and support digital transformation.",https://www.sans.org/mlp/cloud-security-exchange-2025/
The Official Cybersecurity Summit: Vancouver,In Person,Cybersecurity Summit,2025-08-20,Vancouver,Canada,"The Inaugural Vancouver Cybersecurity Summit connects cybersecurity executives and seasoned practitioners with solution providers and information security experts. Attendees will have access to interactive panels, discussions, catered meals, and a cocktail reception. Key topics include incident response, threat mitigation, and emerging security trends.",https://cybersecuritysummit.com/summit/vancouver25/
CIOMeet 2025: Denver,In Person,CIOMeet Denver,2025-08-19,Denver,United States,"CIOMeet Denver collaborates Denver area IT leaders with diverse backgrounds, experiences, and industries to connect the dots between innovation, efficiency, and collaboration. The event will feature discussions, debates, and challenges on the current directions within the Office of the CIO, with a focus on empowering leaders with knowledge and experience from the community.",https://www.ciomeetdenver.org/
The Official Cybersecurity Summit: Detroit,In Person,Cybersecurity Summit,2025-08-19,Detroit,United States,"The 5th Annual Detroit Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/detroit25/
Healthcare Innovation Summit: Washington D.C.,In Person,Healthcare Innovation,2025-08-18,Washington,United States,"The 2025 Healthcare Innovation Summit in Washington D.C. brings together C-level, physician, practice management and healthcare decision-makers from North America’s leading provider organizations and physician practices to discuss current trends, innovative ideas, and best practices in digital health and technology. Attendees will gain insights from industry experts through interactive sessions, networking opportunities, and case study presentations designed to address top challenges and foster professional growth.",https://www.hisummits.com/washingtondc
DevOpsDays: Rio De Janeiro 2025,In Person,MHS Eventos,2025-08-16,Rio De Janeiro,Brazil,DevOpsDays is coming to Rio de Janeiro!,https://devopsdays.org/events/2025-rio-de-janeiro/welcome/
"FutureCon Cybersecurity Conference - Omaha, NE 2025",In Person,FutureCon Events,2025-08-14,Omaha,United States,"Join FutureCon in Omaha for a day of high-level cybersecurity training for C-suite executives and CISOs. Hear from esteemed speakers, gain up to 10 CPE credits, and immerse yourself in the latest cybersecurity developments. Learn how to manage risk, demo new technologies, and network with the local community. The event includes presentations, a panel discussion, and opportunities to interact with security leaders.",https://futureconevents.com/events/omaha-ne-2025
CIOMeet 2025: Sao Paulo,In Person,CXO Inc.,2025-08-14,Sao Paulo,Brazil,"CIOMeet events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions. CIOMeet offers a dynamic and exclusive forum where Chief Information Officers (CIOs) and IT Strategists converge to engage in profound discussions, spirited debates, and rigorous examinations of Enterprise IT.",https://www.ciomeet.org/
CIOMeet 2025: Charlotte,In Person,CIOMeet Charlotte,2025-08-14,Charlotte,United States,"CIOMeet Charlotte brings together Charlotte area IT leaders to discuss innovation, efficiency, and collaboration. Moderated by ABC News Foreign Correspondent Scott Shuster, the event includes panel discussions, collaborative sessions, and networking opportunities focused on the future of the Office of the CIO.",https://www.ciomeetcharlotte.org/
USENIX Security Symposium 2025,In Person,USENIX,2025-08-13,Seattle,United States,"The 34th USENIX Security Symposium will take place on August 13–15, 2025, at the Seattle Convention Center in Seattle, WA, USA. The USENIX Security Symposium brings together researchers, practitioners, system programmers, and others interested in the latest advances in the security and privacy of computer systems and networks.",https://www.usenix.org/conference/usenixsecurity25
DevOpsDays: Kansas City 2025,In Person,DevOpsDays,2025-08-13,Kansas City,United States,"DevOpsDays KC is back for 2025! Join us in Kansas City on Aug 13, 2025 for a day of talks, networking, and collaboration. DevOpsDays KC 2025 will be our 6th annual conference in Kansas City, connecting attendees with a diverse set of stakeholders from various companies, expecting 300+ attendees.",https://devopsdays.org/events/2025-kansas-city/welcome/
CIOMeet 2025: Austin,In Person,CIOMeet,2025-08-12,Dallas,United States,"CIOMeet Austin will bring together Austin area IT leaders to connect on innovation, efficiency, and collaboration. Attendees will discuss current directions within the Office of the CIO over lunch.",https://www.ciomeetaustin.org/
USENIX WOOT Conference on Offensive Technologies,In Person,USENIX,2025-08-11,Seattle,United States,"The 19th USENIX WOOT Conference on Offensive Technologies (WOOT '25) will take place on August 11–12, 2025, at the Seattle Convention Center in Seattle, WA, USA. WOOT brings together academics and practitioners in offensive security research, featuring peer-reviewed work on novel attacks, tools, and techniques.",https://www.usenix.org/conference/woot25
CISO Executive Network,In Person,Corinium,2025-08-11,London,United Kingdom,"CISO Executive Network unites esteemed InfoSec decision-makers and selected service providers for a focused agenda, all within a single impactful day. Under the strict Chatham House Rule, the agenda features high-level discussions on strategic themes and provides an intimate environment for discussion and more engaging sessions, fostering deeper connections and insights among participants. Join us for a day of dynamic networking, collaborative problem-solving, and benchmarking sessions aimed at driving innovation and excellence in the field.",https://ciso-exec.coriniumintelligence.com/home
CIOMeet 2025: Ottawa,In Person,CXO Inc.,2025-08-07,Ottawa,Canada,"CIOMeet events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions. CIOMeet offers a dynamic and exclusive forum where Chief Information Officers (CIOs) and IT Strategists converge to engage in profound discussions, spirited debates, and rigorous examinations of Enterprise IT.",https://www.ciomeet.org/
CISO Chicago 2025,In Person,Corinium,2025-08-06,Chicago,United States,"CISO Chicago 2025 is the largest annual gathering of the most senior InfoSec decision-makers. Be part of THE event that sets the cybersecurity agenda — covering everything from mitigation, response and recovery, GRC, cross-functional collaboration, and AI implementation through to strategies for successful leadership and business growth. In 2025 CISO NY will offer you a comprehensive platform to gain the crucial insights and connections you need to keep your business at the forefront of the industry.",https://ciso-co.coriniumintelligence.com/
KubeCon + CloudNativeCon India,In Person,The Cloud Native Computing Foundation,2025-08-06,Hyderabad,India,"The Cloud Native Computing Foundation’s flagship conference brings together adopters and technologists from leading open source and cloud native communities in Hyderabad, India from 6-7 August, 2025. Be a part of the conversation as CNCF Graduated, Incubating, and Sandbox Projects unite for two days of collaboration, learning, and innovation to drive the future of cloud native computing.",https://events.linuxfoundation.org/kubecon-cloudnativecon-india/
Open Source Summit India 2025,In Person,The Linux Foundation,2025-08-05,Hyderabad,India,"Open Source Summit is the premier event for open source developers, technologists, and community leaders to collaborate, share information, solve problems, and gain knowledge, furthering open source innovation and ensuring a sustainable open source ecosystem. It is the gathering place for open-source code and community contributors.",https://events.linuxfoundation.org/open-source-summit-india/
Skytalks 2025 @BSides Las Vegas – HEEEEEEERE’S CYBER!,In Person,Skytalks,2025-08-04,Las Vegas,United States,"Skytalks will be back in Las Vegas for “hacker summer camp” in 2025, as part of BSides Las Vegas. To attend Skytalks you MUST have a BSidesLV badge and be wearing a mask. Tokens will be distributed at a location at BSidesLV to be determined at several times during the event.",https://skytalks.info/
The Diana Initiative 2025,In Person,The Diana Initiative,2025-08-04,Las Vegas,United States,"The Diana Initiative is a diversity-driven conference committed to helping all underrepresented people in Information Security. The conference features multiple speaker tracks, capture-the-flag competitions, villages with hands-on activities, and workshops.",https://www.dianainitiative.org/
IEEE International Conference on Cyber Security and Resilience,In Person,IEEE,2025-08-04,"Chania, Crete",Greece,"The IEEE International Conference on Cyber Security and Resilience will be held in Chania, Crete, Greece from August 4–6, 2025. The conference will feature workshops, tutorials, and keynote speakers. The website is continuously updated with further information.",https://www.ieee-csr.org/
Black Hat USA 2025,In Person,Informa PLC,2025-08-02,Las Vegas,United States,"Black Hat USA 2025 will be held August 2-7, 2025 at the Mandalay Bay Convention Center in Las Vegas.",https://www.blackhat.com/upcoming.html
"Cybersecurity, Data Breach & Data Privacy Forum",In Person,Chilli IQ Law Events,2025-07-29,Sydney,Australia,"The 7th Cybersecurity, Data Breach & Data Privacy forum is an opportunity to learn from the leaders in their field and be informed of all the latest developments.",https://www.chilliiqlawevents.com.au/
CIOMeet 2025: Calgary,In Person,CIOMeet Calgary,2025-07-24,Calgary,Canada,"CIOMeet Calgary brings together Calgary area IT leaders to connect innovation, efficiency, and collaboration. The event, moderated by Louis Jean, will feature discussions, debates, and challenges related to the Office of the CIO, along with networking opportunities and a panel of speakers.",https://www.ciomeetcalgary.org/
CIOMeet 2025: Buenos Aires,In Person,ciomeet.org,2025-07-24,Buenos Aires,Argentina,"Successful CIOs empower themselves with the lessons, knowledge, and experience of a community. CIOMeet by CXO Inc. collaborate community of CIOs that instigate both innovation and growth within the organization they serve. Our events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions.",https://www.ciomeet.org/
SecureWorld: Artificial Intelligence 2025,Virtual,SecureWorld,2025-07-24,Portland,United States,"SecureWorld's Artificial Intelligence 2025 virtual conference will provide informative sessions led by industry experts, including keynotes, panel discussions, breakout sessions, and networking opportunities. Attendees can earn 6-18 CPE credits.",https://www.secureworld.io/events
Pulse Conferences: Governance 360 Africa Congress,In Person,pulseconferences,2025-07-23,Mombasa,Kenya,"Cybersecurity priorities and best practices, cybercrime risks and mitigations. Building resilient and future-facing technology infrastructures, supply chains and integrity of information. Blockchain, crypto, AI, cloud, leveraging advanced technologies - risks and opportunities.",https://www.pulseconferences.com/conference/governance-360-africa-congress/
Healthcare Innovation Summit: San Diego,In Person,Healthcare Innovation's Summit Series,2025-07-23,San Diego,United States,"The 2025 Healthcare Innovation Summit in San Diego brings together C-level executives, physicians, and healthcare decision-makers to discuss challenges and innovations in the industry. Attendees will learn from industry experts, participate in interactive sessions, and network with peers.",https://www.hisummits.com/san-diego
Cloud Security Melbourne,In Person,Corinium,2025-07-23,Melbourne,Australia,"The Cloud Security Melbourne 2025 conference brings together pioneers in cyber, cloud, and digital strategies for an exclusive exploration into the dynamic landscape of cloud security. Discussions will redefine the benchmarks of secure cloud computing, covering topics from AI-driven cloud security defenses to strategic third-party risk management. The event is co-located with CISO Melbourne, AppSec & DevSecOps Melbourne, and OT Security Melbourne.",https://cloudsec-mel.coriniumintelligence.com/
CISO Melbourne,In Person,Corinium,2025-07-22,Melbourne,Australia,"CISO Melbourne is one of the largest annual gatherings of Victoria’s senior InfoSec decision-makers. The event brings together industry leaders to tackle key challenges and share their learnings. It covers topics from GRC, threat processes, and resilience strategy to leadership and business growth, providing insights to propel businesses forward. In 2025, CISO Melbourne will be co-located with OT Security Melbourne, AppSec & DevSecOps Melbourne, and Cloud Security Melbourne.",https://ciso-mel.coriniumintelligence.com/
"CyberSec 2025, US",Virtual,Executive Partners Network,2025-07-22,London,United Kingdom,"Join the CyberSec US (Virtual) event, designed for C-level executives in the US. The event brings together industry leaders to discuss critical cybersecurity topics through keynote presentations and interactive round table discussions. Attendees will gain a holistic view of the latest trends and best practices, explore real-world solutions, and obtain strategic insights for crafting a proactive IT strategy.",https://epnlive.com/event/infotech2024usjuly/
SANS 2025 Government Security Forum,Virtual,SANS Institute,2025-07-22,,,"Join us at the 2025 Government Security Forum on July 22nd at 10:00 AM ET to gain intelligence, tools, and real-world strategies needed to defend your agency against next-generation cyber threats. The forum will feature in-depth discussions led by industry experts on topics including AI-Augmented Cyber Defense, Zero Trust Architecture, Cyber Defense Best Practices, and more. Attendees can earn CPE credits and network with cybersecurity leaders.",https://www.sans.org/webcasts/2025-sans-government-security-forum/
Insider Threat Investigations & Analysis Training Course W/ Legal Guidance,In Person,Jim Henderson,2025-07-21,Laurel,United States,"This 2-day training course ensures Insider Risk Program Managers and Insider Threat Investigators/Analysts have the core/advanced knowledge and resources required for conducting Insider Threat Investigations, from non-technical and technical perspectives, using proven analytic principles and methodologies. The course also provides legal guidance on the collection, use, and sharing of employee information.",https://www.eventbrite.com/e/insider-threat-investigations-analysis-training-course-w-legal-guidance-tickets-1361812781689
ERTL-YANG Leader Summit 2025: Jakarta,In Person,ERTL-YANG,2025-07-17,Jakarta,Indonesia,ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks.,https://www.ertl-yang.com/summits-2025/ertl-yang-leader-summit-jakarta/overview
Healthcare Innovation Summit - Miami,In Person,Endeavor B2B,2025-07-17,Miami,United States,"The 2025 Healthcare Innovation Summit in Miami, presented by Endeavor B2B, has been cancelled. For inquiries, contact David Silverstone or Pam Durget regarding sales and registration.",https://www.hisummits.com/miami
CyberLab Con 2025,Virtual,CyberSpeak Labs,2025-07-17,Kansas City,United States,"Join CyberSpeak Labs for the very first free online conference, CyberLab Con 2025! CyberSpeak Labs is teaming up with a non-profit group to raise money to support education for others.",https://www.cyberspeaklabs.com/cyberlab-con-2025-about
Namma Privacy 2025,In Person,DPO Club,2025-07-17,Bengaluru,India,"Namma Privacy 2025, an initiative by DPO Club, brings together experts from academia, industry, law, and policy to explore privacy, cybersecurity, and the DPDP Act, 2023. Join us for impactful discussions, global insights, and collaborative action to drive India’s privacy movement. Be a catalyst for change and help shape the nation’s data protection future.",https://nammaprivacy.org/
CIOMeet 2025: Seattle,In Person,CIOMeet,2025-07-17,Seattle,United States,"CIOMeet Seattle collaborates Seattle area IT leaders with diverse backgrounds, experiences, and industries to connect the dots between innovation, efficiency, and collaboration. Join us over an epicurean lunch as we discuss, debate, and challenge the current directions within the Office of the CIO.",https://www.ciomeetseattle.org/
The Official Cybersecurity Summit: DC Metro,In Person,Cybersecurity Summit,2025-07-17,McLean,United States,"The 12th Annual DC Metro Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/dcmetro25/
The Official Cybersecurity Summit,In Person,Cybersecurity Summit,2025-07-15,Raleigh,United States,"The 3rd Annual Raleigh Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/raleigh25/
SANSFIRE 2025,Hybrid,sans.org,2025-07-14,Washington,United States,"In this demo of hardware hacking, we'll introduce PulseView - the 'Wireshark of hardware hacking' - and demonstrate a technique to unlock a keypad safe. Our method? A Side-Channel Timing Attack, which relies on the timing discrepancies in the user interface. Using an affordable logic analyzer (priced under $15), we'll capture microsecond changes in response times tied to incorrect passcodes. By leveraging this side-channel data, we will carefully decipher the true passcode of the safe. Unique Approach: Traditional hacking often focuses on software vulnerabilities to exfiltrate sensitive data. In this demonstration, we will show how the timing of system responses can leak data without any traditional vulnerabilities. This approach emphasizes the power and subtlety of side-channel attacks in extracting valuable information. Insights for Attendees: Understand how a side-channel timing attack works to reveal sensitive data. Learn about the key functionality of logic analyzers and the PulseView software, often called the 'Wireshark of hardware hacking.' Gain practical knowledge on how to utilize changes in response time to recover the passcode of a keypad safe. Join us for this insightful session to explore the intricacies of hardware hacking and enhance your cybersecurity skill set with real-world applications and techniques.",https://www.sans.org/u/1BkS
FutureCon Cybersecurity Conference Orange County,In Person,FutureCon Events,2025-07-10,Orange County,United States,"Join FutureCon Events in Orange County for a cybersecurity event. Attendees will hear from esteemed speakers and gain up to 10 CPE credits while gaining valuable insights into today’s dynamic threat landscape. Attendees can learn how to effectively manage risk, demo new technologies, and network with the local community. The event will include a keynote speaker, a CISO/Industry Leader Panel, and sponsor presentations.",https://futureconevents.com/events/orange-county-ca-2025
Zero Trust Government Symposium,In Person,DSI Group,2025-07-09,National Harbor,United States,"DSI’s 3rd Annual Zero Trust Government Symposium will gather leaders, experts, and implementers from the DoD, Military Services, USG, Technical Solutions Providers, and Academia to showcase the latest advancements in Zero Trust implementation efforts. Zero Trust, a cybersecurity framework, emphasizes continuous monitoring and constant authentication to protect critical national security information, operating under the assumption that all networks may be compromised from the outset.",https://zerotrust.dsigroup.org/
